sample_number,runtime_seconds,success,param_width,param_length,param_fingers,param_multipliers,error,verification_drc,verification_lvs,verification_pex
20,432.7674081325531,True,"[3.1038746086177484, 5.017963139814127]","[2.0642771310674304, 2.7721599594747013]","[2, 2]","[2, 2]",,"{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0020/tg_sample_0020.drc.rpt', 'summary': {'is_pass': True, 'total_errors': 0, 'error_details': []}}","{'status': 'fail', 'is_pass': False, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0020/tg_sample_0020.lvs.rpt', 'summary': {'is_pass': False, 'conclusion': 'LVS Fail: Netlist mismatch.', 'total_mismatches': 0, 'mismatch_details': {'nets': '4 **Mismatch**             |Number of nets: 6 **Mismatch**', 'devices': '4                       |Number of devices: 4', 'unmatched_nets_parsed': [], 'unmatched_instances_parsed': []}}}","{'status': 'PEX Error: bash: run_pex.sh: No such file or directory\n', 'total_resistance_ohms': 0.0, 'total_capacitance_farads': 0.0, 'spice_file': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0020/tg_sample_0020_pex.spice'}"
21,0.1,False,"[18.18022942981808, 9.917877281009593]","[3.907330107595179, 2.803285771291777]","[5, 5]","[2, 2]",Skipped due to problematic parameters: Large width with high finger/multiplier count,,,
22,1000.0,False,"[8.492785572869447, 14.531220333574375]","[2.1188445825010183, 2.2971088633176606]","[1, 1]","[2, 2]",Timeout after 1000 seconds,,,
23,1000.0,False,"[7.894276001544224, 18.878648134427422]","[2.5725679920227718, 1.6188458327797537]","[4, 4]","[1, 1]",Timeout after 1000 seconds,,,
24,974.042551279068,True,"[4.551499763131532, 15.380350430455593]","[2.6659458922839034, 1.6971170600824612]","[3, 3]","[1, 1]",,"{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0024/tg_sample_0024.drc.rpt', 'summary': {'is_pass': True, 'total_errors': 0, 'error_details': []}}","{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0024/tg_sample_0024.lvs.rpt', 'summary': {'is_pass': True, 'conclusion': 'LVS Pass: Netlists match.', 'total_mismatches': 0, 'mismatch_details': {'nets': '6                          |Number of nets: 6', 'devices': '4                       |Number of devices: 4', 'unmatched_nets_parsed': [], 'unmatched_instances_parsed': []}}}","{'status': 'PEX Error: bash: run_pex.sh: No such file or directory\n', 'total_resistance_ohms': 0.0, 'total_capacitance_farads': 0.0, 'spice_file': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0024/tg_sample_0024_pex.spice'}"
25,46.15284442901611,True,"[19.769723270471044, 1.17395413286668]","[2.4577283863841797, 3.3654834699574216]","[1, 1]","[1, 1]",,"{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0025/tg_sample_0025.drc.rpt', 'summary': {'is_pass': True, 'total_errors': 0, 'error_details': []}}","{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0025/tg_sample_0025.lvs.rpt', 'summary': {'is_pass': True, 'conclusion': 'LVS Pass: Netlists match.', 'total_mismatches': 0, 'mismatch_details': {'nets': '6                          |Number of nets: 6', 'devices': '4                       |Number of devices: 4', 'unmatched_nets_parsed': [], 'unmatched_instances_parsed': []}}}","{'status': 'PEX Error: bash: run_pex.sh: No such file or directory\n', 'total_resistance_ohms': 0.0, 'total_capacitance_farads': 0.0, 'spice_file': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0025/tg_sample_0025_pex.spice'}"
26,268.8850607872009,True,"[18.64391338265601, 5.501778554453453]","[2.262382003241904, 3.634843354736056]","[3, 3]","[1, 1]",,"{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0026/tg_sample_0026.drc.rpt', 'summary': {'is_pass': True, 'total_errors': 0, 'error_details': []}}","{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0026/tg_sample_0026.lvs.rpt', 'summary': {'is_pass': True, 'conclusion': 'LVS Pass: Netlists match.', 'total_mismatches': 0, 'mismatch_details': {'nets': '6                          |Number of nets: 6', 'devices': '4                       |Number of devices: 4', 'unmatched_nets_parsed': [], 'unmatched_instances_parsed': []}}}","{'status': 'PEX Error: bash: run_pex.sh: No such file or directory\n', 'total_resistance_ohms': 0.0, 'total_capacitance_farads': 0.0, 'spice_file': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0026/tg_sample_0026_pex.spice'}"
27,227.01314878463745,True,"[7.541571786863335, 5.792603206556998]","[3.798849791083732, 0.9917593499344808]","[4, 4]","[1, 1]",,"{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0027/tg_sample_0027.drc.rpt', 'summary': {'is_pass': True, 'total_errors': 0, 'error_details': []}}","{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0027/tg_sample_0027.lvs.rpt', 'summary': {'is_pass': True, 'conclusion': 'LVS Pass: Netlists match.', 'total_mismatches': 0, 'mismatch_details': {'nets': '6                          |Number of nets: 6', 'devices': '4                       |Number of devices: 4', 'unmatched_nets_parsed': [], 'unmatched_instances_parsed': []}}}","{'status': 'PEX Error: bash: run_pex.sh: No such file or directory\n', 'total_resistance_ohms': 0.0, 'total_capacitance_farads': 0.0, 'spice_file': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0027/tg_sample_0027_pex.spice'}"
28,52.441232204437256,True,"[6.4381018811900335, 1.7769962663369756]","[1.873726306420703, 2.975854505227692]","[1, 1]","[1, 1]",,"{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0028/tg_sample_0028.drc.rpt', 'summary': {'is_pass': True, 'total_errors': 0, 'error_details': []}}","{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0028/tg_sample_0028.lvs.rpt', 'summary': {'is_pass': True, 'conclusion': 'LVS Pass: Netlists match.', 'total_mismatches': 0, 'mismatch_details': {'nets': '6                          |Number of nets: 6', 'devices': '4                       |Number of devices: 4', 'unmatched_nets_parsed': [], 'unmatched_instances_parsed': []}}}","{'status': 'PEX Error: bash: run_pex.sh: No such file or directory\n', 'total_resistance_ohms': 0.0, 'total_capacitance_farads': 0.0, 'spice_file': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0028/tg_sample_0028_pex.spice'}"
29,94.99459862709044,True,"[12.755169229145311, 0.6385260920281651]","[1.6480971239284197, 3.136510175031222]","[3, 3]","[2, 2]",,"{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0029/tg_sample_0029.drc.rpt', 'summary': {'is_pass': True, 'total_errors': 0, 'error_details': []}}","{'status': 'fail', 'is_pass': False, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0029/tg_sample_0029.lvs.rpt', 'summary': {'is_pass': False, 'conclusion': 'LVS Fail: Netlist mismatch.', 'total_mismatches': 0, 'mismatch_details': {'nets': '4 **Mismatch**             |Number of nets: 6 **Mismatch**', 'devices': '4                       |Number of devices: 4', 'unmatched_nets_parsed': [], 'unmatched_instances_parsed': []}}}","{'status': 'PEX Error: bash: run_pex.sh: No such file or directory\n', 'total_resistance_ohms': 0.0, 'total_capacitance_farads': 0.0, 'spice_file': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0029/tg_sample_0029_pex.spice'}"
