Temp,Frequency,Power,Error,inv,header
6.00E+01,1.10E+06,8.60E-09,-0.081447385,8.00E+00,7.00E+00
8.00E+01,2.11E+06,1.73E-08,1.42E-14,8.00E+00,7.00E+00
1.00E+02,3.77E+06,3.24E-08,0.164217615,8.00E+00,7.00E+00
-2.00E+01,2.98E+04,2.07E-10,0.093548243,8.00E+00,9.00E+00
0,9.28E+04,6.57E-10,0,8.00E+00,9.00E+00
2.00E+01,2.47E+05,1.81E-09,-0.082613843,8.00E+00,9.00E+00
4.00E+01,5.78E+05,4.40E-09,-0.106298191,8.00E+00,9.00E+00
6.00E+01,1.22E+06,9.63E-09,-0.080916858,8.00E+00,9.00E+00
8.00E+01,2.34E+06,1.94E-08,0,8.00E+00,9.00E+00
1.00E+02,4.18E+06,3.61E-08,0.1,8.00E+00,9.00E+00

