sample_id,component_name,success,drc_pass,lvs_pass,execution_time,parameters,output_directory,pex_status,total_resistance_ohms,total_capacitance_farads,area_um2,symmetry_horizontal,symmetry_vertical
581,diff_pair_sample_0581,True,True,True,7.224677562713623,"{'width': 3.847122584538634, 'length': 3.810382671230615, 'fingers': 2, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0581,PEX Complete,349420.07330970315,1.0083007800000027e-13,2212.5745000000106,1.0,0.9727900687637864
582,diff_pair_sample_0582,True,True,True,16.305591583251953,"{'width': 12.483582787394658, 'length': 1.1185573315183197, 'fingers': 4, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0582,PEX Complete,346829.9274527019,1.9484706400000007e-13,3524.1596999998314,1.0,0.9880516197946416
583,diff_pair_sample_0583,False,True,False,10.005691766738892,"{'width': 5.135075642872768, 'length': 0.6229921756953116, 'fingers': 5, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0583,PEX Complete,217322.54504679883,1.9507377499999998e-13,1629.043299999999,1.0,0.9773346724424083
584,diff_pair_sample_0584,True,True,True,14.568110942840576,"{'width': 13.924416150058873, 'length': 2.9080139301110464, 'fingers': 2, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0584,PEX Complete,391968.72270770086,1.6341736699999992e-13,4539.333699999947,1.0,0.98883016685907
585,diff_pair_sample_0585,True,True,True,15.296979665756226,"{'width': 13.74029200130765, 'length': 0.31449604950106425, 'fingers': 3, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0585,PEX Complete,292319.0384053968,1.6815548699999995e-13,2184.3042000000282,1.0,0.9881307740927295
586,diff_pair_sample_0586,False,True,False,15.125916004180908,"{'width': 17.42822645022233, 'length': 3.2305608218938837, 'fingers': 1, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0586,PEX Complete,445738.82142100844,2.0471571900000447e-13,4326.312199999899,1.0,0.9903554810491945
587,diff_pair_sample_0587,True,True,True,15.012310981750488,"{'width': 14.36387760377399, 'length': 1.964307518710795, 'fingers': 2, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0587,PEX Complete,353401.83213570033,1.5265266499999995e-13,3681.575899999864,1.0,0.9888933432012086
588,diff_pair_sample_0588,True,True,True,16.674825191497803,"{'width': 10.027871398452433, 'length': 3.9727285977479996, 'fingers': 5, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0588,PEX Complete,671763.2112630147,2.993556600000026e-13,7882.527600000561,1.0,0.9864420645986711
589,diff_pair_sample_0589,False,True,False,11.399754762649536,"{'width': 12.238299303923213, 'length': 3.870879760161192, 'fingers': 1, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0589,PEX Complete,249953.1254479981,1.652485579999955e-13,3616.6123999999254,1.0,0.9872312554145971
590,diff_pair_sample_0590,False,True,False,17.917028188705444,"{'width': 14.48345878348815, 'length': 3.0306376330752642, 'fingers': 3, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0590,PEX Complete,321323.54101900564,3.001614820000064e-13,6082.939400000306,1.0,0.9895135565545834
591,diff_pair_sample_0591,True,True,True,7.543093681335449,"{'width': 3.69852551621881, 'length': 1.4330789973111495, 'fingers': 4, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0591,PEX Complete,283511.4622624965,1.0703138200000013e-13,1731.303699999985,1.0,0.9724623704090736
