Temp,Frequency,Power,Error,inv,header
100,197251.375,4.42129484968731E-07,0.0214810640676397,6,7
-20,141.045454545455,2.76178570473995E-07,1.24317697453866,8,7
0,606.681818181818,2.76178570473995E-07,-0.491672340263017,8,7
20,2414.40909090909,2.76178570473995E-07,-0.7653829924148,8,7
40,8304.5,2.76178570473995E-07,-0.546839001462341,8,7
60,24665.0454545455,2.76178570473995E-07,-0.274237202522115,8,7
80,64466.0454545455,2.76178570473995E-07,-0.0724184856345832,8,7
100,151462.318181818,2.76178570473995E-07,0.0510087911937957,8,7
-20,112.923076923077,2.83489671503194E-07,1.01341772680729,10,7
0,511.961538461538,2.83489671503194E-07,-0.166080063357265,10,7
20,2063.80769230769,2.83489671503194E-07,-0.314164594639001,10,7
40,7090.73076923077,2.83489671503194E-07,-0.158755114929095,10,7
60,20963.8076923077,2.83489671503194E-07,-0.0310090600425426,10,7
80,54598.3076923077,2.83489671503194E-07,0.0177634505046969,10,7
100,127753.730769231,2.83489671503194E-07,-0.0464591203199595,10,7
-20,176.875,4.4505663331589E-07,1.28312882640905,4,9
0,739.875,4.4505663331589E-07,-0.650319960270209,4,9
20,3345.125,4.4505663331589E-07,0.72067760091063,4,9
40,11637,4.4505663331589E-07,0.639071568730365,4,9
60,34764,4.4505663331589E-07,0.46841047773996,4,9
80,91422.75,4.4505663331589E-07,0.186705076617017,4,9
100,215970.25,4.4505663331589E-07,-0.237503769829427,4,9
-20,185.818181818182,3.04811531159959E-07,0.399097255325166,6,9
0,888.272727272727,3.04811531159959E-07,-0.0491436607791361,6,9
20,3530.13636363636,3.04811531159959E-07,-0.157274618051123,6,9
40,11867.6363636364,3.04811531159959E-07,-0.11720681142941,6,9
60,34578.0454545455,3.04811531159959E-07,-0.024095295057861,6,9
80,88959.1363636364,3.04811531159959E-07,0.00641527515115957,6,9
100,206316.772727273,3.04811531159959E-07,-0.0261174533215519,6,9
-20,156.666666666667,2.53607024841277E-07,2.99981306898544,8,9
0,588,2.53607024841277E-07,-0.371749585664665,8,9
20,2337,2.53607024841277E-07,-0.610627757919162,8,9
40,7948.16666666667,2.53607024841277E-07,-0.533696221450666,8,9
60,23553.8333333333,2.53607024841277E-07,-0.269215457941388,8,9
80,61357.3333333333,2.53607024841277E-07,-0.104225793521105,8,9
100,144489.333333333,2.53607024841277E-07,0.118424310412559,8,9
-20,147.636363636364,3.71701983776618E-07,1.28093850270312,10,9
0,608.363636363636,3.71701983776618E-07,-0.610332685088237,10,9
20,2362.59090909091,3.71701983776618E-07,-0.858407644432906,10,9
40,7917.77272727273,3.71701983776618E-07,-0.69445520519458,10,9
60,23080.9090909091,3.71701983776618E-07,-0.403259513181084,10,9
80,59459.1363636364,3.71701983776618E-07,-0.135278147804147,10,9
100,137970.045454545,3.71701983776618E-07,0.0790478241608125,10,9
